Total result files found: 1000
Total files analyzed: 1000
Dominant Error State Check: 74.00% of files contain this error
Nondeterministic Confusion Check: 65.60% of files contain this error
Vacuous Confusion Check: 0.00% of files contain this error
Dominant Blocking State Check: 0.00% of files contain this error

Errors by FMMFSM State:
State Inactive - Dominant Error State Check: 2066 errors
State Inactive - Nondeterministic Confusion Check: 496 errors
State Active - Nondeterministic Confusion Check: 410 errors

Errors by Action:
Action NoGas - Dominant Error State Check: 950 errors
Action NoGas - Nondeterministic Confusion Check: 433 errors
Action Gas - Dominant Error State Check: 376 errors
Action Gas - Nondeterministic Confusion Check: 242 errors


Errors by Files:

Dominant Error State Check:
  computed/cruise_673/result/cruise_673PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.5624772746193774}, Binary True State: {'Active': 0.4589517996078579}
  computed/cruise_217/result/cruise_217PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.47054317815525293}, Binary True State: {'Active': 0.4463806387581257}
  computed/cruise_217/result/cruise_217PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.49417710558824346}, Binary True State: {'Active': 0.40174257488231313}
  computed/cruise_217/result/cruise_217PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.5144981647917839}, Binary True State: {'Active': 0.3615683173940818}
  computed/cruise_819/result/cruise_819PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.5557666580225824}, Binary True State: {'Active': 0.5416841979208968}
  computed/cruise_819/result/cruise_819PostProcessed_Result.json - FMMFSM State: Inactive, Action: Gas, Fuzzy Max State: {'Inactive': 0.5798300761764581}, Binary True State: {'Active': 0.4875157781288071}
  computed/cruise_819/result/cruise_819PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.5660313925177549}, Binary True State: {'Active': 0.5015105561373181}
  computed/cruise_687/result/cruise_687PostProcessed_Result.json - FMMFSM State: Inactive, Action: Gas, Fuzzy Max State: {'Inactive': 0.45241076225152255}, Binary True State: {'Active': 0.4304672100000002}
  computed/cruise_687/result/cruise_687PostProcessed_Result.json - FMMFSM State: Inactive, Action: Gas, Fuzzy Max State: {'Inactive': 0.4566777103838471}, Binary True State: {'Active': 0.44094089594625274}
  computed/cruise_687/result/cruise_687PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.4613909006731096}, Binary True State: {'Active': 0.4499670913757998}
  computed/cruise_821/result/cruise_821PostProcessed_Result.json - FMMFSM State: Inactive, Action: Gas, Fuzzy Max State: {'Inactive': 0.5451434777736626}, Binary True State: {'Active': 0.48390006328392654}
  computed/cruise_821/result/cruise_821PostProcessed_Result.json - FMMFSM State: Inactive, Action: Gas, Fuzzy Max State: {'Inactive': 0.5377555939902781}, Binary True State: {'Active': 0.4947651583354544}
  computed/cruise_821/result/cruise_821PostProcessed_Result.json - FMMFSM State: Inactive, Action: Gas, Fuzzy Max State: {'Inactive': 0.5329232497175551}, Binary True State: {'Active': 0.5025978905042646}
  computed/cruise_821/result/cruise_821PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.5298527528906458}, Binary True State: {'Active': 0.5083148358265899}
  computed/cruise_680/result/cruise_680PostProcessed_Result.json - FMMFSM State: Inactive, Action: Gas, Fuzzy Max State: {'Inactive': 0.5542016966875558}, Binary True State: {'Active': 0.5008166916661239}
  computed/cruise_680/result/cruise_680PostProcessed_Result.json - FMMFSM State: Inactive, Action: Gas, Fuzzy Max State: {'Inactive': 0.5467443173113729}, Binary True State: {'Active': 0.5092163317534049}
  computed/cruise_680/result/cruise_680PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.5416120937992253}, Binary True State: {'Active': 0.5150829715212248}
  computed/cruise_680/result/cruise_680PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.5652228742827541}, Binary True State: {'Active': 0.4635746743691024}
  computed/cruise_210/result/cruise_210PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.49518071037431355}, Binary True State: {'Active': 0.49080613689468766}
  computed/cruise_210/result/cruise_210PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.5199575509114239}, Binary True State: {'Active': 0.44172552320521885}
  computed/cruise_446/result/cruise_446PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.45241076225152255}, Binary True State: {'Active': 0.4304672100000002}
  computed/cruise_446/result/cruise_446PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.475982683391484}, Binary True State: {'Active': 0.38742048900000015}
